Id,SalePrice
1461,116245
1462,153444
1463,177258
1464,197973
1465,190532
1466,168877
1467,177249
1468,162069
1469,189830
1470,117016
1471,186903
1472,100755
1473,97210
1474,146547
1475,113175
1476,355449
1477,244554
1478,270270
1479,269101
1480,521089
1481,327711
1482,206441
1483,173891
1484,166144
1485,184743
1486,195231
1487,322124
1488,228204
1489,189173
1490,234312
1491,194035
1492,93240
1493,173720
1494,281378
1495,280021
1496,233348
1497,179783
1498,173210
1499,160585
1500,155160
1501,179292
1502,154829
1503,283953
1504,241473
1505,225273
1506,188959
1507,261682
1508,199617
1509,155717
1510,144247
1511,154109
1512,175159
1513,143700
1514,155539
1515,199666
1516,153391
1517,170742
1518,131399
1519,215480
1520,127526
1521,129019
1522,176160
1523,110147
1524,116672
1525,121215
1526,107868
1527,108121
1528,136116
1529,150586
1530,193253
1531,109806
1532,98921
1533,153037
1534,120736
1535,144032
1536,107297
1537,63174
1538,148926
1539,187123
1540,92740
1541,129422
1542,139190
1543,187166
1544,90522
1545,114050
1546,134110
1547,133625
1548,133584
1549,121617
1550,131419
1551,108853
1552,138719
1553,138468
1554,120499
1555,162187
1556,87184
1557,100698
1558,102946
1559,71173
1560,131154
1561,122488
1562,132281
1563,118721
1564,160037
1565,140701
1566,234368
1567,78553
1568,244279
1569,126039
1570,138123
1571,121178
1572,145233
1573,235660
1574,123535
1575,232662
1576,252743
1577,178857
1578,137519
1579,143912
1580,191942
1581,153158
1582,123071
1583,308673
1584,222671
1585,139935
1586,71189
1587,103056
1588,155010
1589,96581
1590,137692
1591,94177
1592,114003
1593,125583
1594,124966
1595,104711
1596,219241
1597,188861
1598,211559
1599,167195
1600,160089
1601,69733
1602,109989
1603,82182
1604,256092
1605,244062
1606,167959
1607,180767
1608,209572
1609,179833
1610,147478
1611,135678
1612,171970
1613,164997
1614,120671
1615,93059
1616,80937
1617,97101
1618,126182
1619,139795
1620,174143
1621,133437
1622,140307
1623,266406
1624,220757
1625,118330
1626,170215
1627,192330
1628,277617
1629,171599
1630,370106
1631,210080
1632,231654
1633,171809
1634,185209
1635,174118
1636,151046
1637,200146
1638,179482
1639,185317
1640,258600
1641,179309
1642,233783
1643,216477
1644,228219
1645,221853
1646,155297
1647,151535
1648,128140
1649,140242
1650,111579
1651,119384
1652,101415
1653,105241
1654,144933
1655,134254
1656,138660
1657,146114
1658,146699
1659,121966
1660,153188
1661,450438
1662,389209
1663,370544
1664,547339
1665,289421
1666,326176
1667,377444
1668,336273
1669,290497
1670,326799
1671,271372
1672,444838
1673,293768
1674,241084
1675,200037
1676,195247
1677,216336
1678,496551
1679,387029
1680,310502
1681,228435
1682,309491
1683,189795
1684,175924
1685,176035
1686,172115
1687,171889
1688,190867
1689,194306
1690,198785
1691,187088
1692,250629
1693,168087
1694,179033
1695,164460
1696,269441
1697,170344
1698,349504
1699,321274
1700,251215
1701,265842
1702,241056
1703,237951
1704,288930
1705,239515
1706,450380
1707,205038
1708,196967
1709,264639
1710,218984
1711,263013
1712,257740
1713,268674
1714,217359
1715,201582
1716,183810
1717,172833
1718,135160
1719,209931
1720,238655
1721,159835
1722,121568
1723,151620
1724,203255
1725,235953
1726,186970
1727,152983
1728,171244
1729,163063
1730,152126
1731,120893
1732,129776
1733,112337
1734,119839
1735,128859
1736,110759
1737,306828
1738,242181
1739,256773
1740,229243
1741,198298
1742,170975
1743,178300
1744,324291
1745,214399
1746,183712
1747,216786
1748,231135
1749,139334
1750,122771
1751,257529
1752,117705
1753,148485
1754,192620
1755,158887
1756,129869
1757,121561
1758,140880
1759,156337
1760,165349
1761,147700
1762,178775
1763,180943
1764,111619
1765,172483
1766,198459
1767,236592
1768,139967
1769,168975
1770,158711
1771,116080
1772,133046
1773,125433
1774,151585
1775,143550
1776,124506
1777,109056
1778,144469
1779,117983
1780,169364
1781,121895
1782,90972
1783,140546
1784,108769
1785,119539
1786,146503
1787,165657
1788,66824
1789,100730
1790,85082
1791,200338
1792,155113
1793,128089
1794,159618
1795,136053
1796,125061
1797,114605
1798,119476
1799,112674
1800,126267
1801,125574
1802,131088
1803,148477
1804,141710
1805,137424
1806,131620
1807,132463
1808,117620
1809,117513
1810,133441
1811,83211
1812,91850
1813,117817
1814,94478
1815,59377
1816,102882
1817,102014
1818,140916
1819,127334
1820,66543
1821,113522
1822,150474
1823,51709
1824,129773
1825,136746
1826,106735
1827,102079
1828,132796
1829,122670
1830,143364
1831,137186
1832,74401
1833,134411
1834,119581
1835,122410
1836,125470
1837,91159
1838,122429
1839,105585
1840,132594
1841,135960
1842,89670
1843,127877
1844,134756
1845,139389
1846,152247
1847,169521
1848,54141
1849,101861
1850,116910
1851,156490
1852,124921
1853,127500
1854,163372
1855,143770
1856,228718
1857,129612
1858,130169
1859,114624
1860,146718
1861,115006
1862,319694
1863,303948
1864,303970
1865,332168
1866,315266
1867,224242
1868,298475
1869,207326
1870,222966
1871,241899
1872,176694
1873,252634
1874,147039
1875,191030
1876,196454
1877,208523
1878,199101
1879,126500
1880,129895
1881,252280
1882,246955
1883,184896
1884,200830
1885,231899
1886,278352
1887,217541
1888,276607
1889,170976
1890,117493
1891,127393
1892,99259
1893,127779
1894,123592
1895,133253
1896,125930
1897,117810
1898,117901
1899,163184
1900,153527
1901,160149
1902,153536
1903,222322
1904,134266
1905,201506
1906,137993
1907,215702
1908,113152
1909,139317
1910,123677
1911,211079
1912,334452
1913,140119
1914,70808
1915,292581
1916,62548
1917,246293
1918,142721
1919,178773
1920,152877
1921,378999
1922,295370
1923,245730
1924,238120
1925,198158
1926,370403
1927,132230
1928,151145
1929,128510
1930,126464
1931,141266
1932,134941
1933,179342
1934,181138
1935,168538
1936,189552
1937,176134
1938,165197
1939,230978
1940,187569
1941,167254
1942,176451
1943,207183
1944,342792
1945,364975
1946,130205
1947,287493
1948,160549
1949,238894
1950,184993
1951,250216
1952,219574
1953,169303
1954,181856
1955,135169
1956,341309
1957,146416
1958,301289
1959,147542
1960,110846
1961,120676
1962,100573
1963,110178
1964,105643
1965,147175
1966,131688
1967,289052
1968,450247
1969,367241
1970,412597
1971,479304
1972,370284
1973,274783
1974,325166
1975,553992
1976,273546
1977,367083
1978,351392
1979,309063
1980,205541
1981,331481
1982,216954
1983,200678
1984,174153
1985,225868
1986,208506
1987,187447
1988,177893
1989,194284
1990,209314
1991,231726
1992,218114
1993,171415
1994,229335
1995,184284
1996,250063
1997,293625
1998,319849
1999,272877
2000,321347
2001,275239
2002,235605
2003,261305
2004,297098
2005,220073
2006,213955
2007,247021
2008,216850
2009,193758
2010,194130
2011,133473
2012,173382
2013,175453
2014,182210
2015,200851
2016,190004
2017,193371
2018,116942
2019,136462
2020,102897
2021,99476
2022,182054
2023,135942
2024,283703
2025,366630
2026,176179
2027,163747
2028,152830
2029,167027
2030,264643
2031,232021
2032,240046
2033,248225
2034,171315
2035,215127
2036,200509
2037,210606
2038,323789
2039,213335
2040,299801
2041,296876
2042,204253
2043,182888
2044,165946
2045,213781
2046,150519
2047,141475
2048,140308
2049,146042
2050,166518
2051,103411
2052,118232
2053,146810
2054,99587
2055,156331
2056,150053
2057,109667
2058,218437
2059,129622
2060,179317
2061,172406
2062,127386
2063,118979
2064,139059
2065,116294
2066,160303
2067,109180
2068,147080
2069,84414
2070,114885
2071,103568
2072,131966
2073,127937
2074,183095
2075,142398
2076,115617
2077,163159
2078,123333
2079,127144
2080,119402
2081,124195
2082,118867
2083,145124
2084,111612
2085,113651
2086,109705
2087,118445
2088,97745
2089,83913
2090,124565
2091,102483
2092,116954
2093,111881
2094,109553
2095,143130
2096,86522
2097,97785
2098,142334
2099,61473
2100,67258
2101,105703
2102,124250
2103,103579
2104,140649
2105,126311
2106,57445
2107,189374
2108,108467
2109,106906
2110,129294
2111,141261
2112,133620
2113,119877
2114,121148
2115,159397
2116,122246
2117,142294
2118,123773
2119,117601
2120,113025
2121,90945
2122,120321
2123,85241
2124,155546
2125,121837
2126,150475
2127,160957
2128,127825
2129,91530
2130,125262
2131,138861
2132,113363
2133,120254
2134,117949
2135,91956
2136,76276
2137,105354
2138,129025
2139,147082
2140,142825
2141,155567
2142,125846
2143,149720
2144,118774
2145,142235
2146,166668
2147,134973
2148,132765
2149,156173
2150,223739
2151,121448
2152,167725
2153,181651
2154,101993
2155,143118
2156,268698
2157,237236
2158,238158
2159,220190
2160,185559
2161,239444
2162,420658
2163,342968
2164,245607
2165,205461
2166,153353
2167,218904
2168,189364
2169,193008
2170,210119
2171,151242
2172,127214
2173,166418
2174,226643
2175,300403
2176,301100
2177,240215
2178,214608
2179,138003
2180,213096
2181,192011
2182,222926
2183,188936
2184,117478
2185,118779
2186,151898
2187,157195
2188,158204
2189,328063
2190,79753
2191,78831
2192,88169
2193,108299
2194,105671
2195,108377
2196,102186
2197,125763
2198,161580
2199,186000
2200,144332
2201,136679
2202,207461
2203,134803
2204,173555
2205,118502
2206,141554
2207,213399
2208,266991
2209,243389
2210,122683
2211,111965
2212,118218
2213,100982
2214,123357
2215,100627
2216,140143
2217,59527
2218,80020
2219,73411
2220,76899
2221,294290
2222,264920
2223,281813
2224,212160
2225,117747
2226,190066
2227,200111
2228,263500
2229,264723
2230,147579
2231,215837
2232,172893
2233,177015
2234,239794
2235,219623
2236,272361
2237,327199
2238,195922
2239,107873
2240,150298
2241,157379
2242,123108
2243,131861
2244,105800
2245,101572
2246,135969
2247,118277
2248,122648
2249,122744
2250,126990
2251,90610
2252,185483
2253,156667
2254,175137
2255,183858
2256,172984
2257,208098
2258,156347
2259,176711
2260,150056
2261,182010
2262,209828
2263,364858
2264,533958
2265,159629
2266,281867
2267,381761
2268,402199
2269,143903
2270,195940
2271,219507
2272,195437
2273,159632
2274,179002
2275,159581
2276,195826
2277,183280
2278,144190
2279,122635
2280,111301
2281,166617
2282,180185
2283,110263
2284,112203
2285,139261
2286,122674
2287,357179
2288,271633
2289,384534
2290,461162
2291,323714
